question;answer;retrieved_sources;retrieved_chunk_ids
Given how the Swiss Re Institute classifies primary and secondary perils, to which category can we attribute more losses in 2023? How is insurance claim tracking characterized in this category?;In 2023, **secondary perils** accounted for roughly **81%** of insured losses. Insurance claim tracking for this category is characterized by **weaker exposure data capture and claims tracking**, reflecting less rigour in industry monitoring and modelling than for primary perils.;swissre_sigma-1_2024_english.md#17 (0.670) | swissre_sigma-1_2024_english.md#80 (0.659) | natural-catastrophe-and-climate-report-2023.md#6 (0.658) | swissre_sigma-1_2024_english.md#74 (0.654) | swissre_sigma-1_2024_english.md#16 (0.649) | swissre_sigma-1_2024_english.md#34 (0.631);977,1040,824,1034,976,994
In historical data from the Swiss Re Institute, which geographical grouping of countries has the smallest proportion of insured losses to uninsured losses between 2014 and 2023?;Not found in the retrieved context.;swissre_sigma-1_2024_english.md#77 (0.665) | natural-catastrophe-and-climate-report-2023.md#25 (0.641) | swissre_sigma-1_2024_english.md#20 (0.614) | swissre_sigma-1_2024_english.md#75 (0.606) | swissre_sigma-1_2024_english.md#25 (0.602) | natural-catastrophe-and-climate-report-2023.md#26 (0.601);1037,843,980,1035,985,844
What is the lower bound of dead or missing which have to be reported in connection to a natural catastrophe in order for the Swiss Re data to report it in their statistics?;20 dead or missing.;swissre_sigma-1_2024_english.md#82 (0.576) | swissre_sigma-1_2024_english.md#72 (0.535) | swissre_sigma-1_2024_english.md#78 (0.485) | swissre_sigma-1_2024_english.md#80 (0.484) | swissre_sigma-1_2024_english.md#79 (0.477) | swissre_sigma-1_2024_english.md#20 (0.472);1042,1032,1038,1040,1039,980
Excluding the overall UN average, which group of nations have more than 100 mobile broadband subscriptions per 100 residents in 2024?;Europe, with 105.2 active mobile broadband subscriptions per 100 inhabitants.;Web Version _E-Government Survey 2024 11102024.md#190 (0.680) | Web Version _E-Government Survey 2024 11102024.md#189 (0.678) | Web Version _E-Government Survey 2024 11102024.md#191 (0.656) | Web Version _E-Government Survey 2024 11102024.md#188 (0.556) | Web Version _E-Government Survey 2024 11102024.md#177 (0.541) | Web Version _E-Government Survey 2024 11102024.md#158 (0.526);191,190,192,189,178,159
According to survey data, which feature of government web-portals experienced the largest between 2022 and 2024?;The proportion of portals updated in the last month experienced the largest increase, rising by 6 percentage points from 83 per cent in 2022 to 89 per cent in 2024 (tied with the proportion allowing individuals to modify their own data online, which increased from 50 to 56 per cent).;Web Version _E-Government Survey 2024 11102024.md#187 (0.638) | Web Version _E-Government Survey 2024 11102024.md#188 (0.573) | Web Version _E-Government Survey 2024 11102024.md#186 (0.560) | Web Version _E-Government Survey 2024 11102024.md#17 (0.553) | Web Version _E-Government Survey 2024 11102024.md#23 (0.534) | Web Version _E-Government Survey 2024 11102024.md#119 (0.533);188,189,187,18,24,120
When were the simplified four stages of E-government adoption published? Which revision of the EGDI is this related to?;The simplified four stages were used during **2010-2014**, corresponding to **EGDI rev2.0**.;Web Version _E-Government Survey 2024 11102024.md#43 (0.663) | Web Version _E-Government Survey 2024 11102024.md#46 (0.606) | Web Version _E-Government Survey 2024 11102024.md#16 (0.599) | Web Version _E-Government Survey 2024 11102024.md#119 (0.596) | Web Version _E-Government Survey 2024 11102024.md#42 (0.589) | Web Version _E-Government Survey 2024 11102024.md#40 (0.586);44,47,17,120,43,41
Between what years was the EGDI revision 3.0 acive?;Based on the timeline provided in the context, EGDI revision 3.0 was active between **2014 and 2020**.;Web Version _E-Government Survey 2024 11102024.md#43 (0.528) | Web Version _E-Government Survey 2024 11102024.md#141 (0.527) | Web Version _E-Government Survey 2024 11102024.md#50 (0.524) | Web Version _E-Government Survey 2024 11102024.md#16 (0.495) | Web Version _E-Government Survey 2024 11102024.md#42 (0.487) | Web Version _E-Government Survey 2024 11102024.md#14 (0.471);44,142,51,17,43,15
Given when academic articles using the term started being published, when were the terms E-government development index and Online services index introduced?;The E-Government Development Index (originally called the E-Government Index) was introduced in **2001** in the report *Benchmarking E-Government: A Global Perspective – Assessing the Progress of the UN Member States*, and the Online Services Index was introduced as a component of the EGDI at that time.;Web Version _E-Government Survey 2024 11102024.md#50 (0.618) | Web Version _E-Government Survey 2024 11102024.md#41 (0.604) | Web Version _E-Government Survey 2024 11102024.md#119 (0.594) | Web Version _E-Government Survey 2024 11102024.md#35 (0.591) | Web Version _E-Government Survey 2024 11102024.md#42 (0.582) | Web Version _E-Government Survey 2024 11102024.md#49 (0.575);51,42,120,36,43,50
Of the questions highlighted from the Member States Questionnaire in a chart, is there a discontinuity in the numbering of the questions featured? If so, which numbers are missing?;Not found in the retrieved context.;World_Inequality_Report_2026.md#12 (0.444) | natural-catastrophe-and-climate-report-2023.md#137 (0.438) | World_Inequality_Report_2026.md#13 (0.430) | natural-catastrophe-and-climate-report-2023.md#139 (0.426) | natural-catastrophe-and-climate-report-2023.md#138 (0.424) | World_Inequality_Report_2026.md#14 (0.419);456,955,457,957,956,458
What was the percentage increase over all the 193 UN member states in EGDI scores between 2022 and 2024?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#122 (0.661) | Web Version _E-Government Survey 2024 11102024.md#16 (0.653) | Web Version _E-Government Survey 2024 11102024.md#121 (0.629) | Web Version _E-Government Survey 2024 11102024.md#221 (0.628) | Web Version _E-Government Survey 2024 11102024.md#123 (0.612) | Web Version _E-Government Survey 2024 11102024.md#441 (0.608);123,17,122,222,124,442
Of the countries with very high OSI levels and high EGDI divergence what is the one with the lowest Telecommunications Infrasructure Index?;Rwanda. Among the countries with very high OSI levels but only high (rather than very high) EGDI values—India, Jordan, Kenya and Rwanda—Rwanda has a medium TII level (0.25 to 0.50), whereas the other three have high TII levels (0.50 to 0.75).;Web Version _E-Government Survey 2024 11102024.md#136 (0.678) | Web Version _E-Government Survey 2024 11102024.md#144 (0.668) | Web Version _E-Government Survey 2024 11102024.md#143 (0.666) | Web Version _E-Government Survey 2024 11102024.md#153 (0.659) | Web Version _E-Government Survey 2024 11102024.md#149 (0.657) | Web Version _E-Government Survey 2024 11102024.md#145 (0.652);137,145,144,154,150,146
What grouping of nations has the closest OSI subindex average to the overall UN 193 average?;The Americas region has the closest OSI subindex averages to the global UN 193 average, with values such as 0.8171 for institutional framework and 0.6730 for content provision, compared to global averages of 0.8079 and 0.6644 respectively.;Web Version _E-Government Survey 2024 11102024.md#205 (0.655) | Web Version _E-Government Survey 2024 11102024.md#155 (0.628) | Web Version _E-Government Survey 2024 11102024.md#204 (0.603) | Web Version _E-Government Survey 2024 11102024.md#154 (0.589) | Web Version _E-Government Survey 2024 11102024.md#135 (0.577) | Web Version _E-Government Survey 2024 11102024.md#141 (0.569);206,156,205,155,136,142
Why did the average number of provided online services increase while the percentage stayed the same between 2022 and 2024? How many services were assessed in each of the 2 years?;The percentage remained roughly the same (72–73 per cent) because the number of assessed services increased from **22 in 2022** to **25 in 2024**, while the average number of services provided rose from 16 to 18.;Web Version _E-Government Survey 2024 11102024.md#177 (0.652) | Web Version _E-Government Survey 2024 11102024.md#230 (0.645) | Web Version _E-Government Survey 2024 11102024.md#176 (0.604) | Web Version _E-Government Survey 2024 11102024.md#183 (0.583) | Web Version _E-Government Survey 2024 11102024.md#175 (0.582) | Web Version _E-Government Survey 2024 11102024.md#174 (0.579);178,231,177,184,176,175
What percentage of european countries support filing income tax online?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#176 (0.627) | Web Version _E-Government Survey 2024 11102024.md#230 (0.542) | Web Version _E-Government Survey 2024 11102024.md#175 (0.506) | Web Version _E-Government Survey 2024 11102024.md#231 (0.494) | Web Version _E-Government Survey 2024 11102024.md#17 (0.484) | Web Version _E-Government Survey 2024 11102024.md#173 (0.484);177,231,176,232,18,174
In what percentage of countries in Oceania is one able to apply for a death certificate through a fully digitized process?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#185 (0.537) | Web Version _E-Government Survey 2024 11102024.md#178 (0.492) | Web Version _E-Government Survey 2024 11102024.md#184 (0.485) | Web Version _E-Government Survey 2024 11102024.md#231 (0.478) | Web Version _E-Government Survey 2024 11102024.md#180 (0.473) | Web Version _E-Government Survey 2024 11102024.md#337 (0.466);186,179,185,232,181,338
What region of the world contains the countries that enable fully digitized vehicle regitration? What is the percentage of countries in this region that support this?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#214 (0.546) | Web Version _E-Government Survey 2024 11102024.md#180 (0.529) | Web Version _E-Government Survey 2024 11102024.md#410 (0.519) | Web Version _E-Government Survey 2024 11102024.md#309 (0.518) | Web Version _E-Government Survey 2024 11102024.md#225 (0.503) | Web Version _E-Government Survey 2024 11102024.md#310 (0.502);215,181,411,310,226,311
In what percentage of countries in the Americas is one able to apply for disability compensation in at least a partially online manner?;Based on the data for services targeting persons with disabilities in the Americas, **69 per cent** of countries offer these services that can be completed partially or fully online.;Web Version _E-Government Survey 2024 11102024.md#178 (0.542) | Web Version _E-Government Survey 2024 11102024.md#184 (0.523) | Web Version _E-Government Survey 2024 11102024.md#231 (0.517) | Web Version _E-Government Survey 2024 11102024.md#173 (0.503) | Web Version _E-Government Survey 2024 11102024.md#183 (0.503) | Web Version _E-Government Survey 2024 11102024.md#180 (0.499);179,185,232,174,184,181
What number of countries in Africa support digital invoicing? What is the percentage increase in that figure since 2022?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#181 (0.698) | Web Version _E-Government Survey 2024 11102024.md#226 (0.610) | Web Version _E-Government Survey 2024 11102024.md#180 (0.579) | Web Version _E-Government Survey 2024 11102024.md#17 (0.549) | Web Version _E-Government Survey 2024 11102024.md#253 (0.543) | Web Version _E-Government Survey 2024 11102024.md#255 (0.534);182,227,181,18,254,256
What number of countries in Europe offer an E-procurement platform? Not percentage, number of countries.;Based on the data in figure 2.24, **40 countries** in Europe have e-procurement platforms (representing 93 per cent of countries in the region).;Web Version _E-Government Survey 2024 11102024.md#181 (0.695) | Web Version _E-Government Survey 2024 11102024.md#17 (0.614) | Web Version _E-Government Survey 2024 11102024.md#180 (0.610) | Web Version _E-Government Survey 2024 11102024.md#226 (0.598) | Web Version _E-Government Survey 2024 11102024.md#173 (0.586) | Web Version _E-Government Survey 2024 11102024.md#160 (0.582);182,18,181,227,174,161
What fully digital service for individuals in vulnerable situations experienced the largest percentge decline between 2022 and 2024?;Services for immigrants experienced the largest decline, dropping by 13.5 per cent between 2022 and 2024 (from 163 countries to 141 countries).;Web Version _E-Government Survey 2024 11102024.md#182 (0.610) | Web Version _E-Government Survey 2024 11102024.md#183 (0.605) | Web Version _E-Government Survey 2024 11102024.md#184 (0.579) | Web Version _E-Government Survey 2024 11102024.md#231 (0.559) | Web Version _E-Government Survey 2024 11102024.md#232 (0.554) | Web Version _E-Government Survey 2024 11102024.md#18 (0.517);183,184,185,232,233,19
What service for individuals in vulnerable situations has no fully digitized component in Oceania?;Based on the regional breakdown table in the 2024 UN E-Government Survey, **women** is the only vulnerable group listed for Oceania that shows no percentage for fully digitalized services (only 71% availability is indicated), while all other groups (immigrants, older people, persons living below the poverty line, persons with disabilities, and youth) have documented percentages for fully digitalized services ranging from 29% to 57%.;Web Version _E-Government Survey 2024 11102024.md#184 (0.600) | Web Version _E-Government Survey 2024 11102024.md#343 (0.568) | Web Version _E-Government Survey 2024 11102024.md#337 (0.567) | Web Version _E-Government Survey 2024 11102024.md#185 (0.566) | Web Version _E-Government Survey 2024 11102024.md#183 (0.548) | Web Version _E-Government Survey 2024 11102024.md#340 (0.542);185,344,338,186,184,341
What proportion of countries offer judiciary services in a way that is accessible on mobile or through an app?;65 per cent of countries offer judiciary services that are accessible via mobile device (browser or app).;Web Version _E-Government Survey 2024 11102024.md#185 (0.619) | Web Version _E-Government Survey 2024 11102024.md#186 (0.605) | Web Version _E-Government Survey 2024 11102024.md#173 (0.578) | Web Version _E-Government Survey 2024 11102024.md#184 (0.560) | Web Version _E-Government Survey 2024 11102024.md#183 (0.555) | Web Version _E-Government Survey 2024 11102024.md#177 (0.538);186,187,174,185,184,178
What landlocked countries have moved from high to very high E-government development index in the survey period?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#241 (0.681) | Web Version _E-Government Survey 2024 11102024.md#201 (0.673) | Web Version _E-Government Survey 2024 11102024.md#198 (0.665) | Web Version _E-Government Survey 2024 11102024.md#130 (0.663) | Web Version _E-Government Survey 2024 11102024.md#120 (0.659) | Web Version _E-Government Survey 2024 11102024.md#119 (0.658);242,202,199,131,121,120
What small island nation moved from the middle to the high EGDI group in the last survey period?;Vanuatu.;Web Version _E-Government Survey 2024 11102024.md#129 (0.601) | Web Version _E-Government Survey 2024 11102024.md#197 (0.570) | Web Version _E-Government Survey 2024 11102024.md#151 (0.562) | Web Version _E-Government Survey 2024 11102024.md#246 (0.550) | Web Version _E-Government Survey 2024 11102024.md#196 (0.549) | Web Version _E-Government Survey 2024 11102024.md#333 (0.549);130,198,152,247,197,334
How has Japan named their initiative for removing bureaucratic inefficiencies and improving their digital government tools? What is the project's initial budget?;Japan named the initiative the **Digital Garden city Nation Initiative**, launched with an initial budget of **$42 billion**. The **Digital Agency**, operational since September 2021, specifically aims to dismantle bureaucratic inefficiencies and improve governance.;Web Version _E-Government Survey 2024 11102024.md#294 (0.588) | Web Version _E-Government Survey 2024 11102024.md#402 (0.502) | Web Version _E-Government Survey 2024 11102024.md#35 (0.500) | Web Version _E-Government Survey 2024 11102024.md#32 (0.499) | Web Version _E-Government Survey 2024 11102024.md#104 (0.495) | Web Version _E-Government Survey 2024 11102024.md#111 (0.489);295,403,36,33,105,112
What two departments of the UK govenrment have been merged in the effort to enhance their digital transformation?;The Government Digital Service (GDS) and the Department for Science, Innovation, and Technology (DSIT) have been merged, with GDS recently merging into DSIT to enhance digital transformation efforts.;Web Version _E-Government Survey 2024 11102024.md#323 (0.573) | Web Version _E-Government Survey 2024 11102024.md#322 (0.523) | Web Version _E-Government Survey 2024 11102024.md#324 (0.487) | Web Version _E-Government Survey 2024 11102024.md#321 (0.481) | Web Version _E-Government Survey 2024 11102024.md#71 (0.477) | Web Version _E-Government Survey 2024 11102024.md#297 (0.475);324,323,325,322,72,298
What country grouping appears to have the most drastic difference between EGDI levels of it's constituents?;Small Island Developing States (SIDS) have the highest variance in EGDI values, ranging from 0.2116 for Haiti to 0.9133 for Singapore.;Web Version _E-Government Survey 2024 11102024.md#141 (0.650) | Web Version _E-Government Survey 2024 11102024.md#162 (0.634) | Web Version _E-Government Survey 2024 11102024.md#127 (0.615) | Web Version _E-Government Survey 2024 11102024.md#219 (0.613) | Web Version _E-Government Survey 2024 11102024.md#251 (0.604) | Web Version _E-Government Survey 2024 11102024.md#149 (0.602);142,163,128,220,252,150
What is the change in percentage of cities providing information on procurement between 2022 and 2024?;The percentage of city portals sharing procurement announcements increased from 53 per cent in 2022 to 59 per cent in 2024. Additionally, the publication of procurement results rose from 40 to 42 per cent, and the adoption of e-procurement platforms grew from 36 to 42 per cent over the same period.;Web Version _E-Government Survey 2024 11102024.md#375 (0.718) | Web Version _E-Government Survey 2024 11102024.md#17 (0.565) | Web Version _E-Government Survey 2024 11102024.md#394 (0.562) | Web Version _E-Government Survey 2024 11102024.md#356 (0.550) | Web Version _E-Government Survey 2024 11102024.md#371 (0.546) | Web Version _E-Government Survey 2024 11102024.md#160 (0.544);376,18,395,357,372,161
In the year before the two investment segments equalized, what was the amount invested in energy transition power generation vs fossil fuel power generation?;Not found in the retrieved context.;World_Inequality_Report_2026.md#236 (0.594) | natural-catastrophe-and-climate-report-2023.md#12 (0.590) | natural-catastrophe-and-climate-report-2023.md#11 (0.447) | World_Inequality_Report_2026.md#235 (0.427) | World_Inequality_Report_2026.md#246 (0.427) | World_Inequality_Report_2026.md#245 (0.411);680,830,829,679,690,689
How many of the top 10 costliest environmental disasters of 2023 occurred in Latin America? Which country faced the msot expensive one?;Three of the top 10 costliest environmental disasters of 2023 occurred in Latin America: Hurricane Otis in Mexico, the Argentina Drought, and the Brazil Drought. Mexico faced the most expensive one, Hurricane Otis, with economic losses of USD 15.1 billion.;natural-catastrophe-and-climate-report-2023.md#17 (0.606) | swissre_sigma-1_2024_english.md#6 (0.575) | natural-catastrophe-and-climate-report-2023.md#21 (0.557) | natural-catastrophe-and-climate-report-2023.md#5 (0.556) | natural-catastrophe-and-climate-report-2023.md#92 (0.546) | natural-catastrophe-and-climate-report-2023.md#9 (0.544);835,966,839,823,910,827
