question;answer;retrieved_sources;retrieved_chunk_ids
Given how the Swiss Re Institute classifies primary and secondary perils, to which category can we attribute more losses in 2023? How is insurance claim tracking characterized in this category?;Not found in the retrieved context.;swissre_sigma-1_2024_english.md#74 (0.252) | swissre_sigma-1_2024_english.md#79 (0.228) | swissre_sigma-1_2024_english.md#80 (0.174) | swissre_sigma-1_2024_english.md#34 (0.151);1034,1039,1040,994
In historical data from the Swiss Re Institute, which geographical grouping of countries has the smallest proportion of insured losses to uninsured losses between 2014 and 2023?;Not found in the retrieved context.;swissre_sigma-1_2024_english.md#75 (0.243) | swissre_sigma-1_2024_english.md#77 (0.219) | swissre_sigma-1_2024_english.md#76 (0.216) | swissre_sigma-1_2024_english.md#78 (0.212) | swissre_sigma-1_2024_english.md#1 (0.209) | swissre_sigma-1_2024_english.md#33 (0.206);1035,1037,1036,1038,961,993
What is the lower bound of dead or missing which have to be reported in connection to a natural catastrophe in order for the Swiss Re data to report it in their statistics?;Not found in the retrieved context.;natural-catastrophe-and-climate-report-2023.md#0 (0.128) | swissre_sigma-1_2024_english.md#82 (0.113) | swissre_sigma-1_2024_english.md#13 (0.113);818,1042,973
Excluding the overall UN average, which group of nations have more than 100 mobile broadband subscriptions per 100 residents in 2024?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#189 (0.338) | Web Version _E-Government Survey 2024 11102024.md#190 (0.232) | Web Version _E-Government Survey 2024 11102024.md#191 (0.203);190,191,192
According to survey data, which feature of government web-portals experienced the largest between 2022 and 2024?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#186 (0.131) | Web Version _E-Government Survey 2024 11102024.md#187 (0.117) | Web Version _E-Government Survey 2024 11102024.md#20 (0.111);187,188,21
When were the simplified four stages of E-government adoption published? Which revision of the EGDI is this related to?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#43 (0.116) | Web Version _E-Government Survey 2024 11102024.md#252 (0.068) | Web Version _E-Government Survey 2024 11102024.md#196 (0.067);44,253,197
Between what years was the EGDI revision 3.0 acive?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#196 (0.120) | Web Version _E-Government Survey 2024 11102024.md#440 (0.115) | Web Version _E-Government Survey 2024 11102024.md#221 (0.107);197,441,222
Given when academic articles using the term started being published, when were the terms E-government development index and Online services index introduced?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#50 (0.357) | Web Version _E-Government Survey 2024 11102024.md#51 (0.177) | Web Version _E-Government Survey 2024 11102024.md#41 (0.169) | Web Version _E-Government Survey 2024 11102024.md#42 (0.158);51,52,42,43
Of the questions highlighted from the Member States Questionnaire in a chart, is there a discontinuity in the numbering of the questions featured? If so, which numbers are missing?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#97 (0.115) | Web Version _E-Government Survey 2024 11102024.md#409 (0.086) | Web Version _E-Government Survey 2024 11102024.md#115 (0.081);98,410,116
What was the percentage increase over all the 193 UN member states in EGDI scores between 2022 and 2024?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#16 (0.184) | Web Version _E-Government Survey 2024 11102024.md#124 (0.174) | Web Version _E-Government Survey 2024 11102024.md#190 (0.172) | Web Version _E-Government Survey 2024 11102024.md#18 (0.170) | Web Version _E-Government Survey 2024 11102024.md#17 (0.169) | Web Version _E-Government Survey 2024 11102024.md#163 (0.164);17,125,191,19,18,164
Of the countries with very high OSI levels and high EGDI divergence what is the one with the lowest Telecommunications Infrasructure Index?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#143 (0.363) | Web Version _E-Government Survey 2024 11102024.md#144 (0.293) | Web Version _E-Government Survey 2024 11102024.md#142 (0.252) | Web Version _E-Government Survey 2024 11102024.md#145 (0.235) | Web Version _E-Government Survey 2024 11102024.md#14 (0.232) | Web Version _E-Government Survey 2024 11102024.md#127 (0.217);144,145,143,146,15,128
What grouping of nations has the closest OSI subindex average to the overall UN 193 average?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#11 (0.141) | Web Version _E-Government Survey 2024 11102024.md#154 (0.134) | Web Version _E-Government Survey 2024 11102024.md#205 (0.113);12,155,206
Why did the average number of provided online services increase while the percentage stayed the same between 2022 and 2024? How many services were assessed in each of the 2 years?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#176 (0.341) | Web Version _E-Government Survey 2024 11102024.md#177 (0.306) | Web Version _E-Government Survey 2024 11102024.md#230 (0.263) | Web Version _E-Government Survey 2024 11102024.md#17 (0.209) | Web Version _E-Government Survey 2024 11102024.md#173 (0.204) | Web Version _E-Government Survey 2024 11102024.md#229 (0.179);177,178,231,18,174,230
What percentage of european countries support filing income tax online?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#176 (0.149) | Web Version _E-Government Survey 2024 11102024.md#17 (0.130) | Web Version _E-Government Survey 2024 11102024.md#230 (0.130);177,18,231
In what percentage of countries in Oceania is one able to apply for a death certificate through a fully digitized process?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#214 (0.195) | Web Version _E-Government Survey 2024 11102024.md#180 (0.192) | Web Version _E-Government Survey 2024 11102024.md#174 (0.191) | Web Version _E-Government Survey 2024 11102024.md#17 (0.165);215,181,175,18
What region of the world contains the countries that enable fully digitized vehicle regitration? What is the percentage of countries in this region that support this?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#17 (0.200) | Web Version _E-Government Survey 2024 11102024.md#18 (0.172) | Web Version _E-Government Survey 2024 11102024.md#212 (0.152);18,19,213
In what percentage of countries in the Americas is one able to apply for disability compensation in at least a partially online manner?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#214 (0.232) | Web Version _E-Government Survey 2024 11102024.md#180 (0.230) | Web Version _E-Government Survey 2024 11102024.md#17 (0.199) | Web Version _E-Government Survey 2024 11102024.md#174 (0.181) | Web Version _E-Government Survey 2024 11102024.md#18 (0.174);215,181,18,175,19
What number of countries in Africa support digital invoicing? What is the percentage increase in that figure since 2022?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#181 (0.258) | Web Version _E-Government Survey 2024 11102024.md#198 (0.152) | Web Version _E-Government Survey 2024 11102024.md#17 (0.151) | Web Version _E-Government Survey 2024 11102024.md#182 (0.150);182,199,18,183
What number of countries in Europe offer an E-procurement platform? Not percentage, number of countries.;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#198 (0.270) | Web Version _E-Government Survey 2024 11102024.md#181 (0.262) | Web Version _E-Government Survey 2024 11102024.md#182 (0.210) | Web Version _E-Government Survey 2024 11102024.md#375 (0.179) | Web Version _E-Government Survey 2024 11102024.md#225 (0.171);199,182,183,376,226
What fully digital service for individuals in vulnerable situations experienced the largest percentge decline between 2022 and 2024?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#18 (0.147) | Web Version _E-Government Survey 2024 11102024.md#184 (0.146) | Web Version _E-Government Survey 2024 11102024.md#232 (0.123);19,185,233
What service for individuals in vulnerable situations has no fully digitized component in Oceania?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#212 (0.181) | Web Version _E-Government Survey 2024 11102024.md#184 (0.168) | Web Version _E-Government Survey 2024 11102024.md#183 (0.134);213,185,184
What proportion of countries offer judiciary services in a way that is accessible on mobile or through an app?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#185 (0.128) | Web Version _E-Government Survey 2024 11102024.md#97 (0.111) | Web Version _E-Government Survey 2024 11102024.md#232 (0.106);186,98,233
What landlocked countries have moved from high to very high E-government development index in the survey period?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#129 (0.283) | Web Version _E-Government Survey 2024 11102024.md#221 (0.189) | Web Version _E-Government Survey 2024 11102024.md#234 (0.151);130,222,235
What small island nation moved from the middle to the high EGDI group in the last survey period?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#129 (0.277) | Web Version _E-Government Survey 2024 11102024.md#197 (0.261) | Web Version _E-Government Survey 2024 11102024.md#196 (0.225) | Web Version _E-Government Survey 2024 11102024.md#246 (0.225) | Web Version _E-Government Survey 2024 11102024.md#218 (0.190) | Web Version _E-Government Survey 2024 11102024.md#221 (0.172);130,198,197,247,219,222
How has Japan named their initiative for removing bureaucratic inefficiencies and improving their digital government tools? What is the project's initial budget?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#294 (0.136) | Web Version _E-Government Survey 2024 11102024.md#116 (0.090) | Web Version _E-Government Survey 2024 11102024.md#336 (0.089);295,117,337
What two departments of the UK govenrment have been merged in the effort to enhance their digital transformation?;The Government Digital Service (GDS) and the Department for Science, Innovation, and Technology (DSIT) have been merged,;Web Version _E-Government Survey 2024 11102024.md#322 (0.195) | Web Version _E-Government Survey 2024 11102024.md#321 (0.138) | Web Version _E-Government Survey 2024 11102024.md#257 (0.127);323,322,258
What country grouping appears to have the most drastic difference between EGDI levels of it's constituents?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#243 (0.192) | Web Version _E-Government Survey 2024 11102024.md#12 (0.160) | Web Version _E-Government Survey 2024 11102024.md#142 (0.133);244,13,143
What is the change in percentage of cities providing information on procurement between 2022 and 2024?;Not found in the retrieved context.;Web Version _E-Government Survey 2024 11102024.md#375 (0.265) | Web Version _E-Government Survey 2024 11102024.md#17 (0.244) | Web Version _E-Government Survey 2024 11102024.md#18 (0.219) | Web Version _E-Government Survey 2024 11102024.md#181 (0.178) | Web Version _E-Government Survey 2024 11102024.md#190 (0.168) | Web Version _E-Government Survey 2024 11102024.md#182 (0.152);376,18,19,182,191,183
In the year before the two investment segments equalized, what was the amount invested in energy transition power generation vs fossil fuel power generation?;Not found in the retrieved context.;World_Inequality_Report_2026.md#236 (0.263) | natural-catastrophe-and-climate-report-2023.md#12 (0.185) | natural-catastrophe-and-climate-report-2023.md#11 (0.124);680,830,829
How many of the top 10 costliest environmental disasters of 2023 occurred in Latin America? Which country faced the msot expensive one?;Not found in the retrieved context.;natural-catastrophe-and-climate-report-2023.md#124 (0.130) | swissre_sigma-1_2024_english.md#5 (0.104) | World_Inequality_Report_2026.md#166 (0.100);942,965,610
